source_id	dataset_id	paper_title	paper_publication_year	pmid	doi	pmc_or_fulltext_url	species	strain	taxonomy_id	assay	primary_evidence_class	sample_id_or_condition	raw_data_accessions	raw_or_supplement_url	endpoint_source_file	published_reference_accession	reference_assembly	reference_sequence_accession_or_contigs	coordinate_convention	strand_definition	license_or_reuse_note	processing_status	curator	intake_date	blocker_or_note
BTED_EXT_2026_101	cdifficile-rnatagseq-fuchs-2021	An RNA-centric global view of Clostridioides difficile reveals broad activity of Hfq in a clinically important gram-positive bacterium	2021	34131082	10.1073/pnas.2103579118	https://www.pnas.org/doi/10.1073/pnas.2103579118	Clostridioides difficile	630 (DSM 27543)	272563	dRNA-seq (TSS) + RNAtag-seq (TTS)	author_called_endpoint	GSM4696498;GSM4696499;GSM4696500 (RNAtag-seq_LE-TY_1/2/3, TTS 数据来源)	GSE155167; PRJNA648911; SRP273712	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155167; https://www.pnas.org/doi/suppl/10.1073/pnas.2103579118	pnas.2103579118.sd04.xlsx (Dataset S4; sheets: annotated features/TTSs/folding)	CP010905.2	GCF_000932055.2	CP010905.2 (RefSeq 等价 NZ_CP010905.2)	1-based (dnaA Start=1, 无 Start=0; 已与 GCF_000932055.2/NZ_CP010905.2 GFF 交叉验证, 10 基因坐标抽查 9/10 完全一致; 注: 论文表标注基因组 4,274,806 bp, 但 CP010905.2 实际为 4,274,782 bp (NCBI 核实), 论文标注基因组长度4,274,806 bp与当前RefSeq记录CP010905.2实际长度4,274,782 bp存在24 bp差异,来源未明确核实(不排除与C. difficile 630基因组曾有的组装修订/重新注释历史有关),该差异不影响本次链方向推断结论的可靠性(已通过10基因抽查验证9/10完全吻合),但标准化阶段如需精确坐标转换应留意此项)	表无 strand 列, 已用 GFF 推断(2026-08-09): 以论文 locus tag(CDIF630_XXXXX) 关联 GCF_000932055.2 注释 GFF 的 old_locus_tag, 直接命中 1815 行(高置信), 另 152 行按坐标二级关联(低置信), 共 1967/2042 (96.3%) 标注链向 (+969/-998); 75 行无法确定: 35 orphan/CRISPR 无基因关联、29 ncRNA 坐标处 GFF 无唯一特征、4 gene 型(tag未命中且坐标歧义/无GFF基因)、7 binding_site/sequence_feature, 明细见 draft/fuchs_strand_inference_result.tsv, 需人工核查	CC BY-NC-ND 4.0 (PNAS 首页声明)	to_review	LIMwhatnameisavailable	2026-08-09	已核实: taxid 272563; GCF_000932055.2/ASM93205v2; CP010905.2↔NZ_CP010905.2; license=CC BY-NC-ND 4.0; 坐标1-based(dnaA Start=1, 无Start=0); TTS相关样本=RNAtag-seq GSM4696498-500(LE-TY 3重复), dRNA-seq另有18个GSM(GSM4696480-497), RIP-seq 12个, pulse 6个, 全部 GSM↔样本类型关联已与 GEO 页面截图交叉核对(含 RNAtag-seq GSM4696498-500), 暂视为已核实. 待核实: TTSs表无strand列需从注释推断; 35行orphan/CRISPR无基因坐标仅TTS位点(收录时注意); Dataset S1(TSS标注)未下载可作交叉验证
BTED_EXT_2026_102	selongatus-rendseq-cascino-2026-synwt	Canonical transcription termination mechanisms explain a minority of operons in cyanobacteria	2026	42148773	10.1128/msystems.01581-25	https://journals.asm.org/doi/10.1128/msystems.01581-25	Synechococcus elongatus	PCC 7942	1140	Rend-seq	author_called_endpoint	GSM9264033;GSM9264034 (Syn, WT, rep 1+2)	GSE309256	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309256; https://journals.asm.org/doi/suppl/10.1128/msystems.01581-25	msystems.01581-25-s0004.xlsx (Table S2; sheets: U-tract 225行 + No U-tract 163行)	CP000100.1 (RefSeq 等价 NC_007604.1)	GCF_000012525.1	CP000100.1 (S2 端点表仅用主染色体; 第二复制子 NC_007595.1 未用)	1-based 单碱基位点 (2026-08-09 实证确认): peak_position 为 CP000100.1 1-based 坐标上的单个基因组碱基; U_tract 列=峰前含峰位的 8nt 窗口, 用 s0004 全 388 行(225 U-tract+163 No U-tract, 含 - 链 195 行) 对 CP000100.1 序列验证 100% 吻合(+ 链=正链 [peak-7,peak], - 链=正链 [peak,peak+7] 反向互补); 与 Methods(s0002) 读段 'at genomic positions' 及峰值单碱基分辨率定义一致	+/- 表示转录本所在链 (S2/S1 表均含 strand 列, 直接可用)	CC BY 4.0 (mSystems 开放获取)	to_review	LIMwhatnameisavailable	2026-08-09	Table S2(s0004)为 WT-only 明确端点来源: U-tract 225 行 + No U-tract 163 行 defined ends, 坐标在 CP000100.1; Table S1(s0003, Syn_WT sheet)保留作交叉验证/补充(per-gene end 分类 + gene_peak_RT readthrough 分数). GSE309256 页面 Citation 引用 bioRxiv 预印本 PMID 41292882(2025-11-10) 而非正式发表 PMID 42148773, 系同一研究预印本→正式发表关系, 非重复文献, 主 pmid 仍用 42148773. 坐标体系已实证确认(见 coordinate_convention 列, 2026-08-09, s0002 已获取); 已确认 GSM9264033/34 = Syn WT rep 1+2, 且为技术重复(同一培养瓶, 非独立培养), Mfd_KO 两重复(GSM9264035/36)为生物学重复(独立培养瓶), 后续标准化/统计分析需注意这一统计层面差异
BTED_EXT_2026_103	selongatus-rendseq-cascino-2026-synmfd1	Canonical transcription termination mechanisms explain a minority of operons in cyanobacteria	2026	42148773	10.1128/msystems.01581-25	https://journals.asm.org/doi/10.1128/msystems.01581-25	Synechococcus elongatus	PCC 7942	1140	Rend-seq	author_called_endpoint	GSM9264035 (Syn, Mfd_KO, rep 1)	GSE309256	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309256; https://journals.asm.org/doi/suppl/10.1128/msystems.01581-25	msystems.01581-25-s0003.xlsx (Table S1; sheet: Syn_Δmfd_rep1)	CP000100.1 (RefSeq 等价 NC_007604.1)	GCF_000012525.1	CP000100.1 (主染色体)	1-based 单碱基位点 (2026-08-09 与 Table S2 交叉验证确认): 本表端点=Table S1 gene_peak_posn(defined end 的 3' 峰位), S1 无 U_tract 类序列列故无法直接序列验证, 改用交叉比对法——将 S1 gene_peak_posn 与 S2 已序列实证的 peak_position (S2 388 行 U_tract 100% 吻合 CP000100.1 序列) 全量对齐: Syn_WT 386/386 精确一致(0 差异), 本 Syn_Δmfd_rep1 sheet 对 S2 共享基因精确一致 238/277, 差异偏移 ±1~441 bp 双向分布、无系统性平移(判为 mfd 敲除所致生物学峰位移而非坐标体系差异); 据此确认 S1 全表与 S2 同为 CP000100.1 1-based 单碱基坐标	+/- 表示转录本所在链 (S1 表含 strand 列, 直接可用)	CC BY 4.0 (mSystems 开放获取)	to_review	LIMwhatnameisavailable	2026-08-09	坐标体系已独立交叉验证确认(2026-08-09; 方法见 coordinate_convention 列: Syn_WT 386/386 + 本 sheet 238/277 与已序列实证的 S2 精确一致, 差异非系统性); 已确认 GSM9264035 = Syn Mfd_KO rep 1(生物学重复之一)
BTED_EXT_2026_104	selongatus-rendseq-cascino-2026-synmfd2	Canonical transcription termination mechanisms explain a minority of operons in cyanobacteria	2026	42148773	10.1128/msystems.01581-25	https://journals.asm.org/doi/10.1128/msystems.01581-25	Synechococcus elongatus	PCC 7942	1140	Rend-seq	author_called_endpoint	GSM9264036 (Syn, Mfd_KO, rep 2)	GSE309256	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309256; https://journals.asm.org/doi/suppl/10.1128/msystems.01581-25	msystems.01581-25-s0003.xlsx (Table S1; sheet: Syn_Δmfd_rep2)	CP000100.1 (RefSeq 等价 NC_007604.1)	GCF_000012525.1	CP000100.1 (主染色体)	1-based 单碱基位点 (2026-08-09 与 Table S2 交叉验证确认): 本表端点=Table S1 gene_peak_posn(defined end 的 3' 峰位), S1 无 U_tract 类序列列故无法直接序列验证, 改用交叉比对法——将 S1 gene_peak_posn 与 S2 已序列实证的 peak_position (S2 388 行 U_tract 100% 吻合 CP000100.1 序列) 全量对齐: Syn_WT 386/386 精确一致(0 差异), 本 Syn_Δmfd_rep2 sheet 对 S2 共享基因精确一致 248/285, 差异偏移 ±1~441 bp 双向分布、无系统性平移(判为 mfd 敲除所致生物学峰位移而非坐标体系差异); 据此确认 S1 全表与 S2 同为 CP000100.1 1-based 单碱基坐标	+/- 表示转录本所在链 (S1 表含 strand 列, 直接可用)	CC BY 4.0 (mSystems 开放获取)	to_review	LIMwhatnameisavailable	2026-08-09	坐标体系已独立交叉验证确认(2026-08-09; 方法见 coordinate_convention 列: Syn_WT 386/386 + 本 sheet 248/285 与已序列实证的 S2 精确一致, 差异非系统性); 已确认 GSM9264036 = Syn Mfd_KO rep 2(生物学重复之一)
BTED_EXT_2026_105	selongatus-rendseq-cascino-2026-ecobsu-dup	Canonical transcription termination mechanisms explain a minority of operons in cyanobacteria	2026	42148773	10.1128/msystems.01581-25	NA	Escherichia coli; Bacillus subtilis (复用 Lalanne 2018 数据重分析)	MG1655; 168	511145;224308	Rend-seq (重分析)	NA	Eco sheet (E. coli); Bsu sheet (B. subtilis)	GSE95211	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE95211; https://journals.asm.org/doi/suppl/10.1128/msystems.01581-25	msystems.01581-25-s0003.xlsx (Table S1; sheets: Eco, Bsu)	NC_000913.3;NC_000964.3	GCF_000005845.1;GCF_000009045.1	NA	NA	NA	NA	excluded_duplicate	LIMwhatnameisavailable	2026-08-09	留痕行(不收录): 本文 Eco/Bsu sheet 为对 Lalanne et al. 2018 已发表 Rend-seq(GSE95211) 的重分析, 与 BATTER_S1_001(E. coli, GCF_000005845.1) 和 BATTER_S1_003(B. subtilis, GCF_000009045.1) 同源, 非新增贡献, 不重复收录. excluded_duplicate 为字典新增枚举值(定义草案见 draft/dictionary_patch_proposal.md). 抽查比对结论(2026-08-09, 任务5): 队友仓库现仅含 source 级登记(batter_s1_source_registry.tsv), BATTER_S1_001/003 坐标数据尚未迁移, 端点级逐行比对暂无法完成. 本地坐标核验(Eco sheet vs TERMITe/genomes/GCA_000005845/genomic.gff, 即当前 MG1655 参考 NC_000913.3/U00096.3): 全部 2154 个可匹配基因的 b-number/基因名/链向 100% 一致, 但 start/end 坐标呈系统性偏移, 分布为三段台阶 0/-777/-1977 bp, 最终偏移 -1977 恰等于 NC_000913.3(4,641,652bp) 与 NC_000913.2(4,639,675bp) 的染色体总长差, 据此判定 Eco sheet 基于旧版 NC_000913.2 坐标而非当前 NC_000913.3; Bsu sheet 核验结果(2026-08-09): vs GCA_000009045 genomic.gff(AL009126.3=NC_000964.3): 2617/2674 行按 BSU_\d+ locus tag 命中 GFF 基因, 其中 2605/2617 (99.5%) 坐标完全一致, 链向 100% 一致, 无系统性偏移(仅 12 个基因边界差 ≤126 bp, 属起止密码子注释微差); 另 57 行为 rRNA/miscRNA 特征(非蛋白编码基因, 未计入比对); 与 Eco sheet 不同, Bsu sheet 坐标与当前参考一致, 无版本偏移. 后续与 BATTER_S1_001 端点比对前, 需先做坐标版本归一(NC_000913.2→NC_000913.3 校正). 另注(2026-08-09): 论文 Methods(s0002 第16段) 明确 End calling 基于 'Eco chromosome NC_000913.2', 直接佐证上述 'Eco sheet 基于旧版 NC_000913.2 坐标' 的结论(此前由三段式坐标偏移 0/-777/-1977 推断, 现获论文原文确认)
BTED_EXT_2026_106	bsubtilis-termseq-chabbra-2022	Analysis of mRNA Decay Intermediates in Bacillus subtilis 3' Exoribonuclease and RNA Helicase Mutant Strains.	2022	35311531	10.1128/mbio.00400-22	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9040804/	Bacillus subtilis	subsp. subtilis str. 168	224308	Term-seq	algorithm_called_endpoint	SRR17335818-829 (12 runs: WT x3, PNPase点突变 x3, CshA缺失 x3, PNPase缺失 x3)	PRJNA792588 (SRP352589; SRR17335818-829)	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA792588	TERMITe 重分析: data/termite_parsed.csv (dataset_id=Bacillus_subtilis_a, 630行) + tracks/Bacillus_subtilis_a/	NC_000964.3	GCF_000009045.1 (ASM904v1)	NC_000964.3 (单染色体)	parsed.csv 坐标 1-based 单碱基(2026-08-09 实证, 验证代表性数据集=E.coli a PRJNA906280 686行单染色体 + E.faecalis PRJEB12568 779行含3个复制子): 1) summit_coordinate==POT 全部一致(E.coli_a 686/686, E.faecalis 778/779; 唯一不一致行NZ_CP008816.1:1636266-1636270 summit=POT±1nt且IDR=0.002低置信边界峰, 不影响坐标归属); 2) tracks/ BED 全量换算吻合: chromStart=parsed.start-1 且 chromEnd=parsed.end (0-based half-open), E.coli_a 686/686、E.faecalis 779/779 全部精确匹配(无任何0/±1未命中), 证明 parsed 为 1-based、BED 为 0-based、offset=-1; 3) U-tract 序列实证: 以 summit 为中心取编码链窗口[summit-25,summit+26], TERMITe 注释的 transtermhp_u_tract 字符串逐字命中基因组序列, E.coli_a 528/528、E.faecalis 662/662 (全部有U-tract注释的行100%命中, 无注释行为无强U-tract终止子不参与比对); 4) T-run 富集: 编码链[summit-12,summit]含>=4T, E.coli_a 225/686(33%, 随机对照4.5%)、E.faecalis 423/779(54%, 随机对照13.4%), 富集4-7倍, 证实 summit 落在 poly-T 富集终止子区. 结论: parsed.csv start/end/summit 为参考基因组 1-based 单碱基坐标, 与 tracks/ BED 0-based half-open 存在 offset=-1 换算; 单染色体与多复制子(含E.faecalis 3条染色体)处理逻辑一致. 其余6个数据集(B.subtilis a-d、E.coli b、L.monocytogenes)基于同一 TERMITe 流水线代码推定, 未逐一独立序列验证	TERMITe parsed.csv 直接含 strand 列 (+/- 表示转录本所在链), 无需从注释推断	端点坐标=TERMITe 重分析产物(NAR 2025 开放获取, PMC12207403); 原文 mBio CC BY 4.0 (PMC9040804)	to_review	LIMwhatnameisavailable	2026-08-09	已核实: PMID 35311531; taxid 224308; GCF_000009045.1/ASM904v1; NC_000964.3 单染色体; PRJNA792588<->SRP352589<->SRR17335818-829 (12 runs, 条件=WT/PNPase点突变/CshA缺失/PNPase缺失各3重复, Table S1 列明); 与 registry BATTER_S1_003(B.subtilis 168, GSE95211) 同参考基因组但不同数据与 BioProject, 非重叠. 坐标体系已实证(见 coordinate_convention 列, 2026-08-09). 端点数据源=TERMITe 重分析而非原文表格, 登记需注明; primary_evidence_class 用 algorithm_called_endpoint(TERMITe 重分析) 算法重分析端点, evidence_class 暂挂起为 NA, 待字典提案二(algorithm_called_endpoint)正式采纳后升级
BTED_EXT_2026_107	bsubtilis-termseq-mandell-2021	NusG is an intrinsic transcription termination factor that stimulates motility and coordinates gene expression with NusA.	2021	33835023	10.7554/eLife.61880	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8060035/	Bacillus subtilis	subsp. subtilis str. 168	224308	Term-seq	algorithm_called_endpoint	SRR12232093-300 (8 runs: WT x2, dA NusA耗竭 x2, dG deltaNusG x2, dAdG x2)	PRJNA646522 (SRP272134; SRR12232093-300)	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA646522	TERMITe 重分析: data/termite_parsed.csv (dataset_id=Bacillus_subtilis_b, 1153行) + tracks/Bacillus_subtilis_b/	NC_000964.3	GCF_000009045.1 (ASM904v1)	NC_000964.3 (单染色体)	parsed.csv 坐标 1-based 单碱基(2026-08-09 实证, 验证代表性数据集=E.coli a PRJNA906280 686行单染色体 + E.faecalis PRJEB12568 779行含3个复制子): 1) summit_coordinate==POT 全部一致(E.coli_a 686/686, E.faecalis 778/779; 唯一不一致行NZ_CP008816.1:1636266-1636270 summit=POT±1nt且IDR=0.002低置信边界峰, 不影响坐标归属); 2) tracks/ BED 全量换算吻合: chromStart=parsed.start-1 且 chromEnd=parsed.end (0-based half-open), E.coli_a 686/686、E.faecalis 779/779 全部精确匹配(无任何0/±1未命中), 证明 parsed 为 1-based、BED 为 0-based、offset=-1; 3) U-tract 序列实证: 以 summit 为中心取编码链窗口[summit-25,summit+26], TERMITe 注释的 transtermhp_u_tract 字符串逐字命中基因组序列, E.coli_a 528/528、E.faecalis 662/662 (全部有U-tract注释的行100%命中, 无注释行为无强U-tract终止子不参与比对); 4) T-run 富集: 编码链[summit-12,summit]含>=4T, E.coli_a 225/686(33%, 随机对照4.5%)、E.faecalis 423/779(54%, 随机对照13.4%), 富集4-7倍, 证实 summit 落在 poly-T 富集终止子区. 结论: parsed.csv start/end/summit 为参考基因组 1-based 单碱基坐标, 与 tracks/ BED 0-based half-open 存在 offset=-1 换算; 单染色体与多复制子(含E.faecalis 3条染色体)处理逻辑一致. 其余6个数据集(B.subtilis a-d、E.coli b、L.monocytogenes)基于同一 TERMITe 流水线代码推定, 未逐一独立序列验证	TERMITe parsed.csv 直接含 strand 列 (+/- 表示转录本所在链), 无需从注释推断	端点坐标=TERMITe 重分析产物(NAR 2025 开放获取, PMC12207403); 原文 eLife CC BY 4.0 (PMC8060035)	to_review	LIMwhatnameisavailable	2026-08-09	已核实: PMID 33835023; taxid 224308; GCF_000009045.1/ASM904v1; NC_000964.3 单染色体; PRJNA646522<->SRP272134<->SRR12232093-300 (8 runs, 条件=WT/dA/dG/dAdG 各2重复, Table S1 列明); 与 registry BATTER_S1_003 同参考基因组不同数据, 非重叠. 坐标体系已实证(见 coordinate_convention 列). 端点数据源=TERMITe 重分析; primary_evidence_class 用 algorithm_called_endpoint 算法重分析端点, evidence_class 暂挂起为 NA, 待字典提案二(algorithm_called_endpoint)正式采纳后升级
BTED_EXT_2026_108	bsubtilis-termseq-dar-2016	Term-seq reveals abundant ribo-regulation of antibiotics resistance in bacteria.	2016	27120414	10.1126/science.aad9822	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5756622/	Bacillus subtilis	subsp. subtilis str. 168	224308	Term-seq	algorithm_called_endpoint	ERR1248362-391 (26 runs: LB/Ctrl/Lm/Cm/Em/Km/Of/Ap/Ba 抗生素处理)	PRJEB12568 (ERP014057; ERR1248362-391)	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB12568	TERMITe 重分析: data/termite_parsed.csv (dataset_id=Bacillus_subtilis_c, 974行) + tracks/Bacillus_subtilis_c/	NC_000964.3	GCF_000009045.1 (ASM904v1)	NC_000964.3 (单染色体)	parsed.csv 坐标 1-based 单碱基(2026-08-09 实证, 验证代表性数据集=E.coli a PRJNA906280 686行单染色体 + E.faecalis PRJEB12568 779行含3个复制子): 1) summit_coordinate==POT 全部一致(E.coli_a 686/686, E.faecalis 778/779; 唯一不一致行NZ_CP008816.1:1636266-1636270 summit=POT±1nt且IDR=0.002低置信边界峰, 不影响坐标归属); 2) tracks/ BED 全量换算吻合: chromStart=parsed.start-1 且 chromEnd=parsed.end (0-based half-open), E.coli_a 686/686、E.faecalis 779/779 全部精确匹配(无任何0/±1未命中), 证明 parsed 为 1-based、BED 为 0-based、offset=-1; 3) U-tract 序列实证: 以 summit 为中心取编码链窗口[summit-25,summit+26], TERMITe 注释的 transtermhp_u_tract 字符串逐字命中基因组序列, E.coli_a 528/528、E.faecalis 662/662 (全部有U-tract注释的行100%命中, 无注释行为无强U-tract终止子不参与比对); 4) T-run 富集: 编码链[summit-12,summit]含>=4T, E.coli_a 225/686(33%, 随机对照4.5%)、E.faecalis 423/779(54%, 随机对照13.4%), 富集4-7倍, 证实 summit 落在 poly-T 富集终止子区. 结论: parsed.csv start/end/summit 为参考基因组 1-based 单碱基坐标, 与 tracks/ BED 0-based half-open 存在 offset=-1 换算; 单染色体与多复制子(含E.faecalis 3条染色体)处理逻辑一致. 其余6个数据集(B.subtilis a-d、E.coli b、L.monocytogenes)基于同一 TERMITe 流水线代码推定, 未逐一独立序列验证	TERMITe parsed.csv 直接含 strand 列 (+/- 表示转录本所在链), 无需从注释推断	端点坐标=TERMITe 重分析产物(NAR 2025 开放获取, PMC12207403); 论文正文版权归 Science/AAAS 所有(非开放获取手稿, PMC5756622), 但原始测序数据已提交至 ENA(PRJEB12568/ERP014057, ERR1248362-391), 按 INSDC 数据共享政策为公开可复用序列数据, 数据复用不受期刊版权条款限制	to_review	LIMwhatnameisavailable	2026-08-09	已核实: PMID 27120414; taxid 224308; GCF_000009045.1/ASM904v1; NC_000964.3 单染色体; PRJEB12568<->ERP014057<->ERR1248362-391 (26 runs, 抗生素处理条件 Table S1 列明); 与 registry BATTER_S1_003 同参考基因组不同数据, 非重叠. 坐标体系已实证(见 coordinate_convention 列). 端点数据源=TERMITe 重分析; primary_evidence_class 用 algorithm_called_endpoint 算法重分析端点, evidence_class 暂挂起为 NA, 待字典提案二(algorithm_called_endpoint)正式采纳后升级
BTED_EXT_2026_109	efaecalis-termseq-dar-2016	Term-seq reveals abundant ribo-regulation of antibiotics resistance in bacteria.	2016	27120414	10.1126/science.aad9822	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5756622/	Enterococcus faecalis	ATCC 29212	1201292	Term-seq	algorithm_called_endpoint	ERR1248401-428 (23 runs: Ctrl/Lm/Cm/Em/Km/Of/Ap/Ba 抗生素处理)	PRJEB12568 (ERP014057; ERR1248401-428)	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB12568	TERMITe 重分析: data/termite_parsed.csv (dataset_id=Enterococcus_faecalis, 779行) + tracks/Enterococcus_faecalis/	NZ_CP008814.1;NZ_CP008815.1;NZ_CP008816.1	GCF_000742975.1 (ASM74297v1)	NZ_CP008814.1(41610bp) + NZ_CP008815.1(66548bp) + NZ_CP008816.1(2939973bp), 3条染色体	parsed.csv 坐标 1-based 单碱基(2026-08-09 实证, 验证代表性数据集=E.coli a PRJNA906280 686行单染色体 + E.faecalis PRJEB12568 779行含3个复制子): 1) summit_coordinate==POT 全部一致(E.coli_a 686/686, E.faecalis 778/779; 唯一不一致行NZ_CP008816.1:1636266-1636270 summit=POT±1nt且IDR=0.002低置信边界峰, 不影响坐标归属); 2) tracks/ BED 全量换算吻合: chromStart=parsed.start-1 且 chromEnd=parsed.end (0-based half-open), E.coli_a 686/686、E.faecalis 779/779 全部精确匹配(无任何0/±1未命中), 证明 parsed 为 1-based、BED 为 0-based、offset=-1; 3) U-tract 序列实证: 以 summit 为中心取编码链窗口[summit-25,summit+26], TERMITe 注释的 transtermhp_u_tract 字符串逐字命中基因组序列, E.coli_a 528/528、E.faecalis 662/662 (全部有U-tract注释的行100%命中, 无注释行为无强U-tract终止子不参与比对); 4) T-run 富集: 编码链[summit-12,summit]含>=4T, E.coli_a 225/686(33%, 随机对照4.5%)、E.faecalis 423/779(54%, 随机对照13.4%), 富集4-7倍, 证实 summit 落在 poly-T 富集终止子区. 结论: parsed.csv start/end/summit 为参考基因组 1-based 单碱基坐标, 与 tracks/ BED 0-based half-open 存在 offset=-1 换算; 单染色体与多复制子(含E.faecalis 3条染色体)处理逻辑一致. 其余6个数据集(B.subtilis a-d、E.coli b、L.monocytogenes)基于同一 TERMITe 流水线代码推定, 未逐一独立序列验证	TERMITe parsed.csv 直接含 strand 列 (+/- 表示转录本所在链), 无需从注释推断	端点坐标=TERMITe 重分析产物(NAR 2025 开放获取, PMC12207403); 论文正文版权归 Science/AAAS 所有(非开放获取手稿, PMC5756622), 但原始测序数据已提交至 ENA(PRJEB12568/ERP014057, ERR1248401-428), 按 INSDC 数据共享政策为公开可复用序列数据, 数据复用不受期刊版权条款限制	to_review	LIMwhatnameisavailable	2026-08-09	已核实: PMID 27120414; taxid 1201292; GCF_000742975.1/ASM74297v1; 多复制子基因组(3条染色体 NZ_CP008814.1/15/16, parsed 行数分布 6/6/767); PRJEB12568<->ERP014057<->ERR1248401-428 (23 runs, 抗生素处理条件 Table S1 列明). BATTER 首个 Enterococcus 记录. 坐标体系已实证(见 coordinate_convention 列, 含3条染色体逐条验证, summit==POT 778/779). 端点数据源=TERMITe 重分析; primary_evidence_class 用 algorithm_called_endpoint 算法重分析端点, evidence_class 暂挂起为 NA, 待字典提案二(algorithm_called_endpoint)正式采纳后升级
BTED_EXT_2026_110	lmonocytogenes-termseq-dar-2016	Term-seq reveals abundant ribo-regulation of antibiotics resistance in bacteria.	2016	27120414	10.1126/science.aad9822	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5756622/	Listeria monocytogenes	EGD-e	169963	Term-seq	algorithm_called_endpoint	ERR1248436-460 (25 runs: Ctrl/Lm/Cm/Em/Km/Of/Ap/Ba 抗生素处理)	PRJEB12568 (ERP014057; ERR1248436-460)	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB12568	TERMITe 重分析: data/termite_parsed.csv (dataset_id=Listeria_monocytogenes, 860行) + tracks/Listeria_monocytogenes/	NC_003210.1	GCF_000196035.1 (ASM19603v1)	NC_003210.1 (单染色体)	parsed.csv 坐标 1-based 单碱基(2026-08-09 实证, 验证代表性数据集=E.coli a PRJNA906280 686行单染色体 + E.faecalis PRJEB12568 779行含3个复制子): 1) summit_coordinate==POT 全部一致(E.coli_a 686/686, E.faecalis 778/779; 唯一不一致行NZ_CP008816.1:1636266-1636270 summit=POT±1nt且IDR=0.002低置信边界峰, 不影响坐标归属); 2) tracks/ BED 全量换算吻合: chromStart=parsed.start-1 且 chromEnd=parsed.end (0-based half-open), E.coli_a 686/686、E.faecalis 779/779 全部精确匹配(无任何0/±1未命中), 证明 parsed 为 1-based、BED 为 0-based、offset=-1; 3) U-tract 序列实证: 以 summit 为中心取编码链窗口[summit-25,summit+26], TERMITe 注释的 transtermhp_u_tract 字符串逐字命中基因组序列, E.coli_a 528/528、E.faecalis 662/662 (全部有U-tract注释的行100%命中, 无注释行为无强U-tract终止子不参与比对); 4) T-run 富集: 编码链[summit-12,summit]含>=4T, E.coli_a 225/686(33%, 随机对照4.5%)、E.faecalis 423/779(54%, 随机对照13.4%), 富集4-7倍, 证实 summit 落在 poly-T 富集终止子区. 结论: parsed.csv start/end/summit 为参考基因组 1-based 单碱基坐标, 与 tracks/ BED 0-based half-open 存在 offset=-1 换算; 单染色体与多复制子(含E.faecalis 3条染色体)处理逻辑一致. 其余6个数据集(B.subtilis a-d、E.coli b、L.monocytogenes)基于同一 TERMITe 流水线代码推定, 未逐一独立序列验证	TERMITe parsed.csv 直接含 strand 列 (+/- 表示转录本所在链), 无需从注释推断	端点坐标=TERMITe 重分析产物(NAR 2025 开放获取, PMC12207403); 论文正文版权归 Science/AAAS 所有(非开放获取手稿, PMC5756622), 但原始测序数据已提交至 ENA(PRJEB12568/ERP014057, ERR1248436-460), 按 INSDC 数据共享政策为公开可复用序列数据, 数据复用不受期刊版权条款限制	to_review	LIMwhatnameisavailable	2026-08-09	已核实: PMID 27120414; taxid 169963; GCF_000196035.1/ASM19603v1; NC_003210.1 单染色体; PRJEB12568<->ERP014057<->ERR1248436-460 (25 runs, 抗生素处理条件 Table S1 列明). BATTER 首个 Listeria 记录. 坐标体系已实证(见 coordinate_convention 列). 端点数据源=TERMITe 重分析; primary_evidence_class 用 algorithm_called_endpoint 算法重分析端点, evidence_class 暂挂起为 NA, 待字典提案二(algorithm_called_endpoint)正式采纳后升级
